Start_Station_Code,Rush_Period,Total_Rides,Avg_Rides_Per_Day,Total_Days
A32000,AM,10,1.4285714285714286,5
A32000,PM,53,1.7096774193548387,12
A32001,AM,71,2.21875,14
A32001,PM,55,1.71875,16
A32002,AM,113,2.825,14
A32002,PM,66,2.75,10
A32003,AM,69,1.6428571428571428,12
A32003,PM,75,1.7857142857142858,13
A32004,AM,42,2,14
A32004,PM,149,2.328125,18
A32005,AM,39,2.6,9
A32005,PM,46,2,13
A32006,AM,51,2.217391304347826,13
A32006,PM,46,2.090909090909091,10
A32008,AM,98,3.2666666666666666,6
A32008,PM,63,3.9375,9
A32009,AM,234,2.207547169811321,22
A32009,PM,148,2.4262295081967213,19
A32010,AM,668,3.121495327102804,18
A32010,PM,392,2.7222222222222223,19
A32011,AM,23,2.3,6
A32011,PM,31,2.2142857142857144,11
A32012,AM,86,2.0476190476190474,17
A32012,PM,140,2.5925925925925926,16
A32013,AM,90,3.6,7
A32013,PM,86,4.3,7
A32017,AM,72,5.538461538461538,6
A32017,PM,108,6.352941176470588,6
A32019,AM,46,3.2857142857142856,8
A32019,PM,28,4,6
A32022,AM,88,3.259259259259259,6
A32022,PM,8,2.6666666666666665,3
A32023,AM,18,1.2857142857142858,6
A32023,PM,3,1,3
A32025,AM,268,2,10
A32025,PM,53,1.8275862068965518,8
A32026,AM,16,2.2857142857142856,3
A32026,PM,33,1.9411764705882353,3
A32028,PM,1,1,1
A32030,AM,2,2,1
A32030,PM,18,4.5,4
A32031,PM,12,4,3
A32032,PM,1,1,1
A32033,AM,4,4,1
A32035,AM,1,1,1
A32035,PM,2,2,1
A32036,AM,12,6,2
A32038,AM,4,2,2
A32038,PM,7,2.3333333333333335,3
A32039,AM,1,1,1
A32040,AM,5,1,2
A32040,PM,10,1.25,4
A32041,AM,4,4,1
A32041,PM,3,1.5,2
A32042,PM,9,1.8,2
A32044,PM,3,1.5,1
A32045,AM,3,1.5,1
A32045,PM,7,1.75,2
A32052,PM,2,2,1
B32000,AM,2,1,1
B32000,PM,12,1.0909090909090908,4
B32002,AM,77,2.081081081081081,16
B32002,PM,55,1.4864864864864864,13
B32003,AM,23,1.5333333333333334,9
B32003,PM,146,2.0277777777777777,15
B32004,AM,270,3.033707865168539,16
B32004,PM,113,2.306122448979592,14
B32005,AM,154,2.40625,20
B32005,PM,193,2.382716049382716,16
B32006,AM,33,2.0625,10
B32006,PM,71,1.5777777777777777,14
B32007,AM,61,1.967741935483871,13
B32007,PM,106,2.25531914893617,15
B32008,AM,166,2.4057971014492754,18
B32008,PM,151,1.9113924050632911,18
B32010,AM,140,2.5925925925925926,15
B32010,PM,83,2.024390243902439,12
B32011,AM,5,1,4
B32011,PM,15,1.3636363636363635,4
B32012,AM,30,2.727272727272727,4
B32012,PM,36,2.1176470588235294,7
B32013,AM,17,2.125,7
B32013,PM,12,1.7142857142857142,5
B32014,AM,32,2.2857142857142856,8
B32014,PM,54,2,11
B32015,AM,49,1.2564102564102564,11
B32015,PM,112,1.4545454545454546,15
B32016,AM,19,1.1875,4
B32016,PM,13,1,4
B32017,PM,15,5,2
B32018,AM,12,3,2
B32018,PM,40,6.666666666666667,2
B32020,AM,10,2,3
B32020,PM,43,1.8695652173913044,6
B32021,AM,10,3.3333333333333335,3
B32021,PM,26,5.2,3
B32022,AM,4,4,1
B32023,AM,4,2,2
B32023,PM,2,2,1
B32026,AM,11,1.8333333333333333,5
B32026,PM,14,4.666666666666667,3
B32027,AM,4,4,1
B32027,PM,12,4,3
B32028,PM,2,2,1
B32029,AM,1,1,1
B32031,AM,2,2,1
B32031,PM,1,1,1
B32032,AM,27,1.8,6
B32032,PM,10,1.6666666666666667,4
B32033,AM,2,2,1
B32033,PM,7,1.75,3
B32034,AM,25,1.7857142857142858,3
B32034,PM,24,1.3333333333333333,4
B32035,AM,7,2.3333333333333335,2
B32035,PM,2,2,1
B32036,AM,34,1.7894736842105263,12
B32036,PM,28,1.5555555555555556,8
B32037,AM,18,1.5,4
B32037,PM,15,1.6666666666666667,3
B32055,AM,5,1.6666666666666667,3
B32055,PM,6,1.5,2
B32056,AM,22,5.5,3
B32056,PM,44,4.888888888888889,3
B32058,AM,36,3.272727272727273,1
B32058,PM,14,4.666666666666667,2
B32059,AM,2,2,1
B32060,AM,1,1,1
B32060,PM,3,1.5,1
C32000,AM,151,3.4318181818181817,11
C32000,PM,68,3.238095238095238,11
C32001,AM,93,2.5833333333333335,17
C32001,PM,55,2.8947368421052633,10
C32002,AM,5,1.25,2
C32002,PM,30,1.3636363636363635,9
C32003,AM,318,2.5853658536585367,17
C32003,PM,171,2.1645569620253164,17
C32004,AM,106,3.6551724137931036,7
C32004,PM,44,6.285714285714286,3
C32005,AM,95,3.8,10
C32005,PM,33,2.5384615384615383,8
C32006,AM,263,4.109375,14
C32006,PM,160,3.2,12
C32007,AM,144,2.88,18
C32007,PM,147,2.2615384615384615,15
C32009,AM,52,2.3636363636363638,12
C32009,PM,16,2.6666666666666665,5
C32010,AM,2,1,1
C32010,PM,35,1.5909090909090908,2
C32013,AM,20,3.3333333333333335,4
C32013,PM,8,2.6666666666666665,3
C32014,PM,19,4.75,4
C32016,AM,138,3.6315789473684212,11
C32016,PM,82,5.857142857142857,6
C32017,AM,104,4.16,11
C32017,PM,54,5.4,6
C32019,AM,15,7.5,2
C32019,PM,15,15,1
C32020,AM,2,2,1
C32020,PM,8,2,3
C32021,AM,5,2.5,2
C32021,PM,16,2,4
C32022,AM,18,3.6,4
C32022,PM,10,2.5,2
C32023,AM,18,3.6,4
C32023,PM,40,5.714285714285714,3
C32024,AM,24,2.1818181818181817,5
C32024,PM,9,1.5,5
C32025,AM,98,5.157894736842105,6
C32025,PM,82,5.125,6
C32027,PM,3,3,1
C32028,AM,28,4.666666666666667,3
C32028,PM,18,3.6,3
C32029,AM,106,4.608695652173913,6
C32029,PM,50,4.166666666666667,6
C32030,PM,6,6,1
C32032,AM,22,2.4444444444444446,4
C32032,PM,8,4,1
C32033,AM,4,4,1
C32034,AM,18,3,3
C32034,PM,110,5,7
C32035,AM,38,2.111111111111111,5
C32035,PM,2,2,1
C32036,AM,31,2.2142857142857144,6
C32036,PM,60,2.4,6
C32038,AM,3,1.5,1
C32041,PM,1,1,1
C32044,PM,1,1,1
C32045,AM,2,2,1
C32045,PM,2,2,1
C32046,PM,1,1,1
C32047,AM,2,2,1
C32047,PM,2,1,2
C32050,PM,1,1,1
C32051,AM,2,2,1
C32051,PM,2,2,1
C32052,AM,8,1.6,3
C32052,PM,1,1,1
C32053,AM,12,1.5,2
C32053,PM,10,2,2
C32055,AM,1,1,1
C32055,PM,2,2,1
C32056,AM,23,1.5333333333333334,4
C32056,PM,15,1.875,4
C32057,AM,22,3.142857142857143,3
C32057,PM,15,2.142857142857143,3
C32058,AM,13,1.625,2
C32058,PM,35,2.1875,4
C32059,AM,2,2,1
C32059,PM,1,1,1
C32060,AM,8,1.6,1
C32060,PM,3,1.5,2
C32061,AM,5,1.6666666666666667,2
C32061,PM,4,1.3333333333333333,2
C32062,AM,1,1,1
C32063,AM,97,1.6166666666666667,14
C32063,PM,52,2.08,10
C32064,AM,2,2,1
C32077,AM,5,2.5,1
C32077,PM,14,1.5555555555555556,2
C32079,AM,6,6,1
C32085,AM,1,1,1
C32085,PM,1,1,1
C32090,AM,2,2,1
C32090,PM,1,1,1
C32091,PM,5,2.5,1
C32093,PM,1,1,1
D32000,AM,172,2.606060606060606,16
D32000,PM,155,2.540983606557377,12
D32001,AM,8,4,2
D32001,PM,30,1.875,8
D32002,AM,72,3.6,7
D32002,PM,59,3.2777777777777777,6
D32003,AM,263,1.7417218543046358,13
D32003,PM,61,1.4186046511627908,10
D32004,AM,35,1.8421052631578947,7
D32004,PM,90,1.6666666666666667,9
D32005,AM,142,2.088235294117647,16
D32005,PM,340,2.677165354330709,17
D32006,AM,215,2.4157303370786516,17
D32006,PM,184,2.875,17
D32007,AM,15,2.142857142857143,4
D32007,PM,36,3,5
D32008,AM,172,2.4571428571428573,16
D32008,PM,105,1.875,17
D32009,AM,26,1.7333333333333334,9
D32009,PM,52,1.9259259259259258,8
D32010,AM,171,2.514705882352941,14
D32010,PM,114,2.533333333333333,13
D32011,AM,55,1.6176470588235294,14
D32011,PM,110,1.71875,14
D32012,AM,6,1,3
D32012,PM,81,1.4464285714285714,7
D32013,AM,7,1.1666666666666667,3
D32013,PM,6,1.2,2
D32014,AM,26,2.3636363636363638,7
D32014,PM,38,2.111111111111111,5
D32015,AM,30,2.727272727272727,6
D32015,PM,123,2.46,14
D32016,AM,187,3.6666666666666665,12
D32016,PM,198,3.193548387096774,9
D32017,AM,146,5.0344827586206895,10
D32017,PM,273,6.348837209302325,10
D32018,AM,12,3,3
D32018,PM,24,2.6666666666666665,6
D32019,AM,76,5.066666666666666,7
D32019,PM,91,3.9565217391304346,9
D32020,AM,94,2.6857142857142855,8
D32020,PM,33,2.75,7
D32021,AM,168,2.9473684210526314,10
D32021,PM,43,3.3076923076923075,8
D32022,AM,122,3.935483870967742,3
D32022,PM,6,6,1
D32023,AM,6,1.5,2
D32023,PM,10,1.4285714285714286,5
D32028,AM,28,3.5,5
D32028,PM,12,3,3
D32029,AM,2,2,1
D32029,PM,7,2.3333333333333335,3
D32031,AM,4,4,1
D32031,PM,6,3,2
D32033,PM,8,1.6,4
D32034,AM,9,1.8,1
D32034,PM,22,1.5714285714285714,4
D32035,AM,14,1.5555555555555556,3
D32035,PM,12,2,4
D32036,AM,5,2.5,1
D32036,PM,2,2,1
D32037,AM,5,1.25,2
D32037,PM,5,1.25,2
D32038,AM,8,4,1
D32038,PM,7,2.3333333333333335,2
D32039,AM,18,2,5
D32039,PM,10,1.6666666666666667,3
D32040,AM,2,2,1
D32040,PM,6,2,2
D32041,AM,4,2,2
D32041,PM,2,2,1
D32042,AM,46,2.090909090909091,9
D32042,PM,115,3.026315789473684,9
D32043,AM,6,1.5,2
D32043,PM,10,2,3
D32044,AM,8,1.3333333333333333,2
D32044,PM,20,2,4
D32045,AM,11,1.8333333333333333,3
D32045,PM,29,2.4166666666666665,4
D32046,AM,7,1.75,2
D32046,PM,28,2.1538461538461537,4
D32048,AM,1,1,1
D32048,PM,9,1.8,3
D32049,AM,4,4,1
D32049,PM,10,2,3
D32052,AM,2,2,1
D32052,PM,1,1,1
D32053,AM,1,1,1
D32053,PM,1,1,1
D32054,PM,2,2,1
E32001,AM,22,4.4,4
E32001,PM,16,4,4
E32003,AM,30,3.75,4
E32003,PM,30,3.3333333333333335,4
E32004,AM,22,3.6666666666666665,3
E32005,AM,12,3,2
E32005,PM,22,3.6666666666666665,4
E32006,AM,34,3.4,3
E32006,PM,38,4.222222222222222,6
E32007,AM,22,4.4,4
E32007,PM,16,2.6666666666666665,4
E32010,AM,3,1.5,2
E32010,PM,9,1.8,2
K32001,AM,74,4.352941176470588,7
K32001,PM,79,3.761904761904762,6
K32002,AM,63,5.25,4
K32002,PM,39,6.5,3
K32003,AM,12,6,2
K32003,PM,66,4.4,3
K32004,PM,12,1.7142857142857142,2
K32005,AM,8,2.6666666666666665,3
K32005,PM,28,4,4
K32006,AM,9,2.25,3
K32006,PM,13,1.8571428571428572,4
K32007,AM,6,3,1
K32007,PM,11,1.8333333333333333,2
K32008,PM,4,2,1
L32005,PM,3,1,2
M32001,AM,108,1.2272727272727273,27
M32001,PM,81,1.396551724137931,26
M32002,AM,132,1.4042553191489362,29
M32002,PM,201,1.4357142857142857,29
M32003,AM,53,1.2926829268292683,24
M32003,PM,145,1.3181818181818181,26
M32004,AM,22,1.2222222222222223,6
M32004,PM,33,1.1785714285714286,7
M32005,AM,17,1.0625,13
M32005,PM,319,1.436936936936937,32
M32006,AM,95,1.3013698630136987,29
M32006,PM,264,1.4748603351955307,30
M32007,AM,182,1.3893129770992367,30
M32007,PM,65,1.1206896551724137,26
M32009,AM,54,1.255813953488372,18
M32009,PM,62,1.5897435897435896,18
M32010,AM,274,1.3564356435643565,28
M32010,PM,62,1.1272727272727272,24
M32011,AM,149,1.3185840707964602,28
M32011,PM,260,1.5204678362573099,31
M32012,AM,142,1.2792792792792793,30
M32012,PM,97,1.2125,26
M32013,AM,96,1.103448275862069,27
M32013,PM,73,1.1587301587301588,24
M32014,AM,172,1.4576271186440677,28
M32014,PM,73,1.3518518518518519,26
M32016,AM,26,1.3,14
M32016,PM,84,1.3770491803278688,23
M32017,AM,31,1.1923076923076923,20
M32017,PM,78,1.164179104477612,24
M32018,AM,39,1.054054054054054,21
M32018,PM,187,1.654867256637168,30
M32019,AM,41,1.0789473684210527,22
M32019,PM,130,1.3265306122448979,26
M32020,AM,30,1.1111111111111112,20
M32020,PM,48,1.0909090909090908,23
M32021,AM,42,2.1,13
M32021,PM,67,2.09375,17
M32022,AM,142,1.844155844155844,25
M32022,PM,144,2.0869565217391304,24
M32023,AM,16,1.0666666666666667,11
M32023,PM,95,1.1875,27
M32024,AM,55,1.1956521739130435,23
M32024,PM,31,1.0689655172413792,16
M32025,AM,41,1.4137931034482758,14
M32025,PM,22,1.1578947368421053,15
M32026,AM,122,1.2577319587628866,22
M32026,PM,56,1.0980392156862746,20
M32027,AM,35,1.206896551724138,17
M32027,PM,56,1.2173913043478262,21
M32029,AM,118,1.2291666666666667,24
M32029,PM,51,1.2142857142857142,23
M32030,AM,15,1.1538461538461537,8
M32030,PM,20,1.4285714285714286,7
M32031,AM,10,1,7
M32031,PM,19,1.1875,11
M32032,AM,12,1.2,8
M32032,PM,46,1.2777777777777777,15
M32033,AM,11,1.1,8
M32033,PM,15,1.0714285714285714,9
M32034,AM,54,1.173913043478261,16
M32034,PM,39,1.4444444444444444,15
M32035,PM,2,1,1
M32036,AM,29,1.16,12
M32036,PM,4,1,4
M32037,AM,107,1.671875,24
M32037,PM,200,1.3888888888888888,26
M32038,AM,41,1.7083333333333333,17
M32038,PM,25,1.25,12
M32039,AM,17,1.5454545454545454,5
M32039,PM,21,1.4,7
M32040,AM,17,1.1333333333333333,7
M32040,PM,36,1.0909090909090908,9
M32041,AM,39,1.21875,14
M32041,PM,61,1.3863636363636365,12
M32042,AM,52,1.4054054054054055,13
M32042,PM,35,1.5909090909090908,11
M32043,AM,4,1.3333333333333333,2
M32043,PM,9,1.2857142857142858,5
M32044,AM,2,2,1
M32044,PM,6,3,1
M32045,AM,3,3,1
M32045,PM,14,2.3333333333333335,3
M32046,AM,2,1,2
M32046,PM,5,2.5,2
M32047,AM,24,3.4285714285714284,4
M32047,PM,22,2.4444444444444446,5
M32048,AM,11,1.375,6
M32048,PM,19,1.2666666666666666,6
M32049,AM,22,3.6666666666666665,3
M32049,PM,20,2.857142857142857,3
M32050,AM,5,1,4
M32050,PM,6,1.5,3
M32051,PM,6,1,3
M32052,AM,8,1.3333333333333333,4
M32052,PM,6,1.5,4
M32053,PM,20,2,4
M32054,AM,2,2,1
M32054,PM,1,1,1
M32055,AM,2,2,1
M32055,PM,4,1.3333333333333333,1
M32056,PM,3,1.5,1
M32057,AM,1,1,1
M32057,PM,3,1.5,2
M32059,AM,1,1,1
M32059,PM,6,1.2,2
M32060,PM,1,1,1
M32061,PM,9,1.2857142857142858,2
M32062,PM,9,1.5,2
M32063,AM,4,4,1
M32063,PM,12,4,2
M32064,PM,5,1.6666666666666667,2
M32065,AM,8,4,2
M32065,PM,7,1.4,2
M32066,AM,1,1,1
M32066,PM,1,1,1
M32067,AM,3,1,3
M32067,PM,6,1.5,2
M32068,AM,1,1,1
M32068,PM,1,1,1
M32070,AM,4,1.3333333333333333,2
M32070,PM,3,1.5,1
M32072,AM,2,1,1
S32001,AM,20,1.3333333333333333,8
S32001,PM,7,1.1666666666666667,4
S32002,AM,27,1.35,7
S32002,PM,18,1.3846153846153846,6
S32004,AM,20,1.1764705882352942,8
S32004,PM,6,1,5
S32005,PM,4,1.3333333333333333,2
S32006,AM,9,1.5,4
S32006,PM,24,1.7142857142857142,6
S32007,AM,4,1.3333333333333333,3
S32007,PM,7,1.4,4
S32008,AM,8,1.1428571428571428,6
S32008,PM,2,2,1
S32009,PM,6,2,3
S32014,PM,2,1,2
S32015,PM,2,1,1
S32016,PM,4,1.3333333333333333,3
S32017,PM,3,1.5,1
S32018,PM,1,1,1
S32019,AM,3,3,1
S32019,PM,2,1,2
S32020,PM,1,1,1
S32021,PM,2,1,2
S32022,PM,9,2.25,3
S32023,PM,26,2.888888888888889,3
S32034,AM,4,1.3333333333333333,1
S32034,PM,4,1,2
S32035,PM,5,1.25,3
S32038,PM,2,1,2
S32040,AM,2,2,1
S32041,AM,4,4,1
S32041,PM,2,2,1
V32007,PM,2,2,1
W32002,AM,1,1,1
W32004,PM,2,1,1
NA,AM,10,1.1111111111111112,6
NA,PM,24,1.0909090909090908,7
